[092/200] Train loss: 864.7224 Valid loss: 892.0364

[093/200] Train loss: 855.0657 Valid loss: 819.1221

[094/200] Train loss: 845.4207 Valid loss: 180.4408

[095/200] Train loss: 838.8528 Valid loss: 883.3820

[096/200] Train loss: 824.8861 Valid loss: 749.1952

[097/200] Train loss: 811.8984 Valid loss: 474.4218

[098/200] Train loss: 802.0588 Valid loss: 783.4467

[099/200] Train loss: 793.0740 Valid loss: 650.8412

[100/200] Train loss: 785.4898 Valid loss: 499.8257

[101/200] Train loss: 777.0709 Valid loss: 600.4886

[102/200] Train loss: 764.5508 Valid loss: 689.0753

[103/200] Train loss: 751.8458 Valid loss: 374.4802

[104/200] Train loss: 742.1381 Valid loss: 745.9617

[105/200] Train loss: 732.1018 Valid loss: 517.4855

[106/200] Train loss: 723.2593 Valid loss: 520.3385

[107/200] Train loss: 715.7197 Valid loss: 747.4146

[108/200] Train loss: 707.6422 Valid loss: 515.6702

[109/200] Train loss: 696.8456 Valid loss: 365.5572

[110/200] Train loss: 686.1110 Valid loss: 829.5078

[111/200] Train loss: 676.8297 Valid loss: 374.8649

[112/200] Train loss: 667.9613 Valid loss: 318.8625

[113/200] Train loss: 663.3993 Valid loss: 1010.4122

[114/200] Train loss: 657.6528 Valid loss: 922.8049

[115/200] Train loss: 649.2067 Valid loss: 763.5702

[116/200] Train loss: 666.0211 Valid loss: 683.3359

[117/200] Train loss: 725.6656 Valid loss: 427.5046

[118/200] Train loss: 655.7853 Valid loss: 835.2654

[119/200] Train loss: 747.8879 Valid loss: 369.2990

[120/200] Train loss: 641.8990 Valid loss: 1591.1953

[121/200] Train loss: 606.0406 Valid loss: 5191.7241

[122/200] Train loss: 811.1592 Valid loss: 593.2797

[123/200] Train loss: 649.5446 Valid loss: 699.0772

[124/200] Train loss: 595.1166 Valid loss: 760.2183

[125/200] Train loss: 578.1146 Valid loss: 432.7770

[126/200] Train loss: 553.9123 Valid loss: 567.6393

[127/200] Train loss: 535.1869 Valid loss: 932.2925

[128/200] Train loss: 520.5573 Valid loss: 935.6080

[129/200] Train loss: 508.9304 Valid loss: 610.4327

[130/200] Train loss: 495.3145 Valid loss: 376.8487

[131/200] Train loss: 482.6798 Valid loss: 307.0726

[132/200] Train loss: 470.2628 Valid loss: 266.7750

[133/200] Train loss: 457.7266 Valid loss: 233.2428

[134/200] Train loss: 445.4323 Valid loss: 178.2485

[135/200] Train loss: 433.1900 Valid loss: 96.5162

[136/200] Train loss: 420.9503 Valid loss: 80.2066

[137/200] Train loss: 408.7564 Valid loss: 70.6285

[138/200] Train loss: 396.7075 Valid loss: 92.3039

[139/200] Train loss: 385.5500 Valid loss: 252.2237

[140/200] Train loss: 380.0831 Valid loss: 291.2615

[141/200] Train loss: 387.2848 Valid loss: 472.6835

[142/200] Train loss: 373.4539 Valid loss: 385.4480

[143/200] Train loss: 353.0712 Valid loss: 102.0182

[144/200] Train loss: 332.6803 Valid loss: 176.5435

[145/200] Train loss: 317.2433 Valid loss: 214.7340

[146/200] Train loss: 305.2091 Valid loss: 211.1597

[147/200] Train loss: 292.0468 Valid loss: 218.2270

[148/200] Train loss: 278.8387 Valid loss: 195.6768

[149/200] Train loss: 265.9162 Valid loss: 261.6927

[150/200] Train loss: 253.1326 Valid loss: 230.7859

[151/200] Train loss: 240.3821 Valid loss: 238.8922

[152/200] Train loss: 227.9165 Valid loss: 256.0668

[153/200] Train loss: 217.0824 Valid loss: 266.9225

[154/200] Train loss: 219.0796 Valid loss: 355.5150

[155/200] Train loss: 267.9031 Valid loss: 365.9293

[156/200] Train loss: 262.6465 Valid loss: 808.4937

[157/200] Train loss: 188.7207 Valid loss: 209.3637

[158/200] Train loss: 221.6895 Valid loss: 247.5744

[159/200] Train loss: 188.4942 Valid loss: 264.8973

[160/200] Train loss: 168.2725 Valid loss: 128.0270

[161/200] Train loss: 145.7093 Valid loss: 332.1009

[162/200] Train loss: 145.2570 Valid loss: 207.3822

[163/200] Train loss: 114.6409 Valid loss: 50.0157

[164/200] Train loss: 101.3877 Valid loss: 119.8924

[165/200] Train loss: 94.5570 Valid loss: 217.6227

[166/200] Train loss: 131.2442 Valid loss: 328.0094

