[035/050][001/001] G_loss: 3940.5447 D_loss: -460.9947 Wasser_D: 542.5023 vf_loss: 0.03494 ssa_loss: 4.142 gp_loss: 8.151 
[036/050][001/001] G_loss: 3773.2214 D_loss: -464.9325 Wasser_D: 570.8631 vf_loss: 0.03488 ssa_loss: 4.068 gp_loss: 10.59 
[037/050][001/001] G_loss: 3760.6147 D_loss: -409.6848 Wasser_D: 499.6653 vf_loss: 0.04257 ssa_loss: 3.992 gp_loss: 8.998 
[038/050][001/001] G_loss: 3544.8623 D_loss: -393.5297 Wasser_D: 482.0791 vf_loss: 0.03444 ssa_loss: 3.862 gp_loss: 8.855 
[039/050][001/001] G_loss: 3339.3374 D_loss: -368.1892 Wasser_D: 459.0892 vf_loss: 0.0339 ssa_loss: 3.746 gp_loss: 9.09 
[040/050][001/001] G_loss: 3154.1208 D_loss: -353.7833 Wasser_D: 451.1712 vf_loss: 0.03196 ssa_loss: 3.602 gp_loss: 9.739 
[041/050][001/001] G_loss: 2963.1902 D_loss: -340.4514 Wasser_D: 442.7819 vf_loss: 0.03532 ssa_loss: 3.455 gp_loss: 10.23 
[042/050][001/001] G_loss: 2776.1816 D_loss: -324.6100 Wasser_D: 428.6673 vf_loss: 0.03476 ssa_loss: 3.271 gp_loss: 10.41 
[043/050][001/001] G_loss: 2806.9072 D_loss: -333.0861 Wasser_D: 439.9315 vf_loss: 0.03259 ssa_loss: 3.265 gp_loss: 10.68 
[044/050][001/001] G_loss: 2725.9717 D_loss: -345.8746 Wasser_D: 451.3454 vf_loss: 0.02829 ssa_loss: 3.166 gp_loss: 10.55 
[045/050][001/001] G_loss: 2568.4070 D_loss: -347.3780 Wasser_D: 455.7741 vf_loss: 0.02707 ssa_loss: 3.033 gp_loss: 10.84 
[046/050][001/001] G_loss: 2476.2710 D_loss: -339.4643 Wasser_D: 451.3788 vf_loss: 0.02208 ssa_loss: 2.998 gp_loss: 11.19 
[047/050][001/001] G_loss: 2374.8010 D_loss: -311.3829 Wasser_D: 425.1888 vf_loss: 0.02517 ssa_loss: 2.925 gp_loss: 11.38 
[048/050][001/001] G_loss: 2382.6855 D_loss: -252.2695 Wasser_D: 363.9642 vf_loss: 0.02669 ssa_loss: 2.938 gp_loss: 11.17 
[049/050][001/001] G_loss: 2298.2437 D_loss: -215.2531 Wasser_D: 323.0142 vf_loss: 0.02603 ssa_loss: 2.874 gp_loss: 10.78 
[050/050][001/001] G_loss: 2349.0283 D_loss: -190.5565 Wasser_D: 294.7694 vf_loss: 0.02743 ssa_loss: 2.941 gp_loss: 10.42 
